;;;;
Sensor1;Sensor1_cm;cm;Sensor2;Sensor2_cm
1994;20;21,25;21,25;514
1201;20;21,30;21,3;513
1264;21;21,64;21,64;506
1388;23;23,44;23,44;472
1477;25;24,70;24,7;451
1605;27;26,09;26,09;430
1740;29;27,95;27,95;405
1838;31;29,11;29,11;391
1897;32;30,26;30,26;378
1953;33;31,50;31,5;365
2020;34;33,28;33,28;348
2110;36;34,89;34,89;334
2158;37;35,87;35,87;326
2254;38;37,32;37,32;315
2307;39;38,88;38,88;304
2376;40;40,56;40,56;293
2460;42;42,73;42,73;280
2550;43;43,99;43,99;273
2588;44;44,94;44,94;268
2642;45;46,33;46,33;261
2745;47;47,58;47,58;255
2775;47;48,90;48,9;249
2861;49;50,06;50,06;244
2930;50;52,27;52,27;235
2992;51;53,58;53,58;230
3080;52;55,52;55,52;223
3130;53;55,23;55,23;224
3184;54;57,59;57,59;216
3256;55;59,49;59,49;210
3323;57;62,21;62,21;202
3339;57;62,21;62,21;202
3401;58;63,65;63,65;198
3430;58;63,65;63,65;198
3470;58;71,03;71,03;180
3558;59;67,98;67,98;187
3596;61;67,98;67,98;187
3610;62;69,25;69,25;184
3672;63;72,89;72,89;176
3749;64;71,03;71,03;180
3786;65;72,89;72,89;176
3860;66;73,85;73,85;174
3864;66;75,34;75,34;171
3873;66;74,34;74,34;173
3875;66;76,89;76,89;168
3954;67;76,37;76,37;169
3948;67;76,89;76,89;168
3951;68;79,05;79,05;164
4004;68;77,96;77,96;164
4029;69;79,96;79,96;166
4083;70;79,05;79,05;168
4092;70;79,05;79,05;160
4159;71;81,33;81,33;163
